최근성_R,빈도_F,총금액_M,RFM_SCORE,최근성_R_R,빈도_F_F,총금액_M_M
0.12868860239308982,0.0001252818842395389,0.015109171244357135,1,1,1,1
0.9949785686501134,0.02267602104735654,0.0302971720893879,3,5,5,5
0.799036659426723,0.0037584565271861674,0.02144246187979173,2,2,3,4
0.9514253755371797,0.009020295665246801,0.02130259836388934,2,4,4,4
0.1695300736836424,0.0020045101478326226,0.016287562771637478,1,1,2,2
0.9037161942091618,0.011776497118516659,0.020555038619280337,2,3,4,4
0.45381604587406976,0.00037584565271861676,0.015422798175959858,1,1,1,1
0.37826006845376026,0.007141067401653718,0.018912866862019827,1,1,3,4
0.4265722682240921,0.001503382610874467,0.016728050035124453,1,1,1,2
0.9405729047435589,0.007266349285893257,0.025016364101838533,2,4,4,5
0.9119239452295473,0.01628664495114006,0.03698436781179846,3,3,5,5
0.9970519098375757,0.002255073916311701,0.01922529566826587,1,5,2,4
0.981073782284286,0.03169631671260334,0.037117782594163394,4,5,5,5
0.8609186353171523,0.01603608118266098,0.024489999441462143,2,3,5,5
0.23093000705382682,0.0011275369581558504,0.015778359495046544,1,1,1,1
0.9922761526678913,0.034201954397394124,0.03327338595335451,4,5,5,5
0.707588168182588,0.002756201453269856,0.0170543629999156,1,2,2,3
0.9809639733704077,0.010523678276121268,0.019736401849835068,2,5,4,4
0.2202338743748802,0.002756201453269856,0.01623925012857823,1,1,2,2
0.9897226301282159,0.001252818842395389,0.01570435763478073,1,5,1,1
0.8635410210740058,0.020796792783763462,0.027603821526542085,3,3,5,5
0.8817897736261323,0.007767476822851413,0.02176214991614003,2,3,4,4
0.8096434560401415,0.006389376096216485,0.019683331944330158,2,2,3,4
0.16653173198435875,0.0016286644951140057,0.016393984494495934,1,1,1,2
0.9333087659153133,0.004009020295665245,0.01772718086565614,1,4,3,3
0.9944853591216776,0.0021297920320721615,0.016714024920655025,1,5,2,2
0.15609988516593243,0.009521423202204959,0.020846500231784394,2,1,4,4
0.6540163075542949,0.02731145076421948,0.029235139677630268,3,2,5,5
0.7826137127138248,0.005011275369581556,0.018105506566519828,1,2,3,3
0.9435638017707153,0.013029315960912046,0.024696147480774044,2,4,4,5
0.9892685051284485,0.011275369581558501,0.021466142475076784,2,5,4,4
0.5063289018922494,0.012402906539714353,0.021590712273190902,2,1,4,4
0.9244905517804864,0.0036331746429466285,0.017104261397123406,1,4,3,3
0.09678818232746507,0.0011275369581558504,0.016525425893920444,1,1,1,2
0.9597615471517615,0.012402906539714353,0.024907933757058583,2,4,4,5
0.7879068745963591,0.0038837384114257063,0.017046751380002546,1,2,3,3
0.9436382484919885,0.012402906539714353,0.016733300643305214,1,4,4,2
0.8073523581929548,0.007892758707090951,0.02068609238991298,2,2,4,4
0.8306299867670953,0.0032573289902280114,0.01959326110869234,1,3,2,4
0.9597429354714432,0.01979453770984715,0.025674804463298864,2,4,5,5
0.9058658432859296,0.015660235529942362,0.02360141329457515,2,3,5,5
0.8791301645086425,0.010523678276121268,0.020873070423517926,2,3,4,4
0.6811167752658214,0.007266349285893257,0.01901594088167578,1,2,4,4
0.1880468344323531,0.0005011275369581556,0.015406235854852748,1,1,1,1
0.13444333394751878,0.001252818842395389,0.015904162657498423,1,1,1,1
0.8684712551903324,0.0006264094211976945,0.016552912299162028,1,3,1,2
0.6029049110640855,0.006639939864695563,0.02113641132912098,2,2,3,4
0.941767774619996,0.013405161613630664,0.026670199961836175,2,4,4,5
0.8683800579567725,0.009521423202204959,0.02112841208041606,2,3,4,4
0.9142001537324794,0.014031571034828357,0.02512609828891841,2,3,4,5
0.7907079324842686,0.014156852919067896,0.0540726659504931,5,2,4,5
0.19362475502375784,0.0033826108744675503,0.017509227767682788,1,1,2,3
0.8013873146509286,0.007516913054372335,0.019432571354972297,2,2,4,4
0.8226865216072303,0.004885993485342017,0.01755528511595298,1,3,3,3
0.41864741474454537,0.0021297920320721615,0.017091046779218796,1,1,2,3
0.9358492602787658,0.09734402405412175,0.45110505039790966,44,4,5,5
0.9921868166023634,0.024680531195189166,0.027720497792894514,3,5,5,5
0.6996409806866593,0.004134302179904784,0.01746517904133409,1,2,3,3
0.8307174616645914,0.003507892758707089,0.017224884429356675,1,3,2,3
0.9593837300412994,0.005637684790779251,0.01795038457181026,1,4,3,3
0.7450534806633946,0.004760711601102479,0.017940834807937858,1,2,3,3
0.9997022131149067,0.015660235529942362,0.02162524647464828,2,5,5,4
0.5657448301404996,0.0036331746429466285,0.02131461485643727,2,2,3,4
0.7914765948814158,0.004384865948383862,0.01784794485381373,1,2,3,3
0.4800194305942524,0.0036331746429466285,0.017162652388771234,1,1,3,3
0.970292035875875,0.004259584064144323,0.01760539494704726,1,4,3,3
0.9324991578214656,0.03745928338762213,0.04286762141987368,4,4,5,5
0.9763855000120976,0.012027060886995736,0.028325198708209428,3,5,4,5
0.8850151778252995,0.001252818842395389,0.01601269871922161,1,3,1,2
0.9060947669538448,0.029942370333249802,0.037719875824878464,4,3,5,5
